,,Model,Make_Year,Driven_Kilometers,Fuel,Transmission,Owner(s),Mileage,Engine,Price,Location
28,,BMW  Series d Luxury Line,2013,93000,Diesel,Automatic,1,18.88,1995,1493000,Ahmedabad
29,,Hyundai Verna CRDi . AT SX Plus,2017,70000,Diesel,Automatic,1,22,1582,894999,Ahmedabad
30,,Ford Endeavour . Titanium AT X Sunroof,2020,24000,Diesel,Automatic,1,12.62,2198,3150000,Ahmedabad
31,,Mercedes-Benz M-Class ML  CDI,2015,60000,Diesel,Automatic,1,15.26,2143,3000000,Ahmedabad
32,,Hyundai Creta SX Diesel AT,2020,12000,Diesel,Automatic,1,18.5,1493,1845000,Ahmedabad
33,,Audi A . TDI,2011,147000,Diesel,Automatic,1,16.55,1968,944999,Ahmedabad
34,,Mercedes-Benz E-Class E  CDI Avantgarde,2013,75000,Diesel,Automatic,1,10,2148,1650000,Ahmedabad
35,,Hyundai Creta . CRDi AT SX Plus,2016,85000,Diesel,Automatic,1,17.01,1582,990000,Ahmedabad
36,,Maruti Baleno Delta Automatic,2016,53000,Petrol,Automatic,1,21.4,1197,575000,Ahmedabad
37,,Skoda Superb Laurin & klement,2020,15981,Petrol,Automatic,1,15.1,1984,3275000,Ahmedabad
38,,Audi A  TDI Technology,2018,15000,Diesel,Automatic,1,18.25,1968,3150000,Ahmedabad
39,,Mercedes-Benz C-Class Progressive C d,2018,24500,Diesel,Automatic,1,12.6,1950,3550000,Ahmedabad
40,,Mercedes-Benz M-Class ML  CDI,2015,60000,Diesel,Automatic,1,15.26,2143,3000000,Ahmedabad
41,,Hyundai Creta SX Diesel AT,2020,12000,Diesel,Automatic,1,18.5,1493,1845000,Ahmedabad
42,,Audi A . TDI,2011,147000,Diesel,Automatic,1,16.55,1968,944999,Ahmedabad
43,,Mercedes-Benz E-Class E  CDI Avantgarde,2013,75000,Diesel,Automatic,1,10,2148,1650000,Ahmedabad
44,,Hyundai Creta . CRDi AT SX Plus,2016,85000,Diesel,Automatic,1,17.01,1582,990000,Ahmedabad
45,,Maruti Baleno Delta Automatic,2016,53000,Petrol,Automatic,1,21.4,1197,575000,Ahmedabad
46,,Skoda Superb Laurin & klement,2020,15981,Petrol,Automatic,1,15.1,1984,3275000,Ahmedabad
47,,Audi A  TDI Technology,2018,15000,Diesel,Automatic,1,18.25,1968,3150000,Ahmedabad
48,,Mini Cooper Countryman One,2014,21000,Petrol,Automatic,1,19.23,1598,1650000,Ahmedabad
49,,Volvo XC  D Inscription,2020,37000,Diesel,Automatic,1,17.2,1969,7500000,Ahmedabad
50,,BMW  Series d Prestige,2014,49000,Diesel,Automatic,2,18.88,1995,1675000,Ahmedabad
51,,Hyundai Creta . SX Automatic Diesel,2018,81800,Diesel,Automatic,1,17.6,1582,1325000,Ahmedabad
52,,Honda City i-VTEC CVT V,2017,15000,Petrol,Automatic,1,18,1497,891000,Ahmedabad
53,,Maruti Wagon R AMT VXI,2018,16000,Petrol,Automatic,1,20.51,998,461000,Ahmedabad
54,,Audi Q -  TDI Quattro Technology,2017,22000,Diesel,Automatic,1,14.75,2967,5800000,Ahmedabad
55,,Honda New Accord - . A/T,2013,68542,Petrol,Automatic,1,11.7,2354,751000,Ahmedabad
56,,Hyundai Verna . CRDi AT SX,2015,52000,Diesel,Automatic,2,19.08,1582,550000,Ahmedabad
57,,Hyundai Grand i AT Sportz,2014,68000,Petrol,Automatic,1,18.9,1197,479000,Ahmedabad
58,,Audi A . TDI Multitronic,2014,76000,Diesel,Automatic,1,16.55,1968,1449000,Ahmedabad
59,,Hyundai Creta . CRDi AT SX Plus,2016,79000,Diesel,Automatic,2,17.01,1582,900000,Ahmedabad
60,,Maruti Wagon R AMT VXI,2018,16000,Petrol,Automatic,1,20.51,998,461000,Ahmedabad
61,,Audi Q -  TDI Quattro Technology,2017,22000,Diesel,Automatic,1,14.75,2967,5800000,Ahmedabad
62,,Hyundai Creta . CRDi AT SX Plus,2016,79000,Diesel,Automatic,2,17.01,1582,900000,Ahmedabad
63,,Hyundai Grand i AT Sportz,2014,68000,Petrol,Automatic,1,18.9,1197,479000,Ahmedabad
64,,Audi A . TDI Multitronic,2014,76000,Diesel,Automatic,1,16.55,1968,1449000,Ahmedabad
65,,Audi Q . TDI,2014,118419,Diesel,Automatic,2,15.73,1968,1100000,Ahmedabad
66,,Toyota Fortuner - TRD AT,2018,35000,Diesel,Automatic,1,12.9,2755,2994000,Ahmedabad
67,,Audi Q - . TDI Quattro Technology,2010,68000,Diesel,Automatic,2,11.33,4134,1374000,Ahmedabad
68,,Mahindra Ssangyong Rexton RX,2013,100000,Diesel,Automatic,2,11.18,2696,800000,Ahmedabad
69,,Volkswagen Vento . TDI Comfortline AT,2015,68000,Diesel,Automatic,1,21.21,1498,650000,Ahmedabad
70,,BMW  Series d Luxury Line,2019,9439,Diesel,Automatic,1,20.37,1995,5100000,Ahmedabad
71,,BMW  Series d,2008,89000,Diesel,Automatic,3,18.48,1995,1150000,Ahmedabad
72,,Hyundai Creta . CRDi AT S Plus,2017,73544,Diesel,Automatic,1,17.01,1582,1050000,Ahmedabad
73,,BMW X xDrive d Luxury Line,2019,31794,Diesel,Automatic,1,16.55,1995,5300000,Ahmedabad
74,,Toyota Innova Crysta - . GX AT S BSIV,2019,54312,Diesel,Automatic,1,11.36,2755,1825000,Ahmedabad
75,,Volkswagen Vento . TDI Highline AT,2017,65000,Diesel,Automatic,1,22.15,1498,875000,Ahmedabad
76,,Toyota Innova Crysta - . ZX AT BSIV,2019,40214,Diesel,Automatic,1,11.36,2755,2275000,Ahmedabad
77,,Ford EcoSport . Petrol Titanium AT,2018,21000,Petrol,Automatic,1,14.7,1496,1000000,Ahmedabad
78,,Volvo XC D Momentum BSIV,2018,36131,Diesel,Automatic,1,17.2,1969,5600000,Ahmedabad
79,,Honda Jazz V CVT,2017,55000,Petrol,Automatic,1,18.2,1199,661000,Ahmedabad
80,,Audi Q  TDI quattro Premium,2017,39376,Diesel,Automatic,1,14.16,1968,3150000,Ahmedabad
81,,Honda Brio VX AT,2014,45000,Petrol,Automatic,1,16.5,1198,451000,Ahmedabad
82,,Mahindra Ssangyong Rexton RX,2015,16129,Diesel,Automatic,1,11.18,2696,1200000,Ahmedabad
83,,Hyundai i Asta Opt Turbo DCT DT,2021,5705,Petrol,Automatic,1,20.28,998,1100000,Ahmedabad
84,,Toyota Innova Crysta - . GX AT S BSIV,2019,65000,Diesel,Automatic,1,11.36,2755,1751000,Ahmedabad
85,,Volvo S D SUMMUM,2015,51000,Diesel,Automatic,1,9,1984,1700000,Ahmedabad
86,,Mercedes-Benz E-Class E CDI Avantgarde,2016,48000,Diesel,Automatic,2,13,2143,2651000,Ahmedabad
87,,Volvo S Cross Country D AWD BSIV,2017,83000,Diesel,Automatic,1,19.6,2400,2250000,Ahmedabad
88,,Toyota Corolla Altis G AT,2017,41000,Petrol,Automatic,1,14.28,1798,1300000,Ahmedabad
89,,Mercedes-Benz C-Class C  CDI Style,2016,73000,Diesel,Automatic,1,19.27,2143,2750000,Ahmedabad
90,,Nissan Teana Teana,2009,50239,Petrol,Automatic,3,9.1,2496,400000,Ahmedabad
91,,Hyundai Verna CRDi . AT SX Plus,2018,54000,Diesel,Automatic,1,22,1582,950000,Ahmedabad
92,,Toyota Fortuner x  Speed AT,2012,99000,Diesel,Automatic,2,11.5,2982,1350000,Ahmedabad
93,,Toyota Fortuner - . WD AT,2017,74586,Diesel,Automatic,1,12.9,2755,2750000,Ahmedabad
94,,Honda City . S AT,2012,73000,Petrol,Automatic,1,16.8,1497,525000,Ahmedabad
95,,Honda Accord VTi-L AT,2007,68000,Petrol,Automatic,1,11.1,2354,279000,Ahmedabad
96,,Volkswagen Polo - GT TSI,2016,37897,Petrol,Automatic,1,17.21,1197,650000,Ahmedabad
97,,Jaguar XJ .L Premium Luxury,2018,16000,Diesel,Automatic,1,14.47,2993,6500000,Ahmedabad
98,,Mercedes-Benz C-Class  CDI AT,2012,81000,Diesel,Automatic,1,14.84,2143,1325000,Ahmedabad
99,,Toyota Fortuner x AT,2014,147000,Diesel,Automatic,3,12.55,2982,1361000,Ahmedabad
100,,Mercedes-Benz E-Class E CDI Elegance,2011,116000,Diesel,Automatic,2,14.21,2143,1050000,Ahmedabad
101,,Toyota Yaris G CVT,2018,35000,Petrol,Automatic,1,17.8,1496,990000,Ahmedabad
102,,Mercedes-Benz E-Class E CDI Avantgarde,2011,69810,Diesel,Automatic,1,14.21,2143,1375000,Ahmedabad
103,,Toyota Innova Crysta - . GX AT,2016,70000,Diesel,Automatic,1,13.68,2393,1390000,Ahmedabad
104,,Hyundai Verna CRDi . AT SX Plus,2018,52000,Diesel,Automatic,1,22,1582,1075000,Ahmedabad
105,,Renault Duster Petrol RXS CVT,2019,26187,Petrol,Automatic,1,14.99,1498,875000,Ahmedabad
106,,Volkswagen Polo - GT TSI,2016,37897,Petrol,Automatic,1,17.21,1197,650000,Ahmedabad
107,,Jaguar XJ .L Premium Luxury,2018,16000,Diesel,Automatic,1,14.47,2993,6500000,Ahmedabad
108,,Mercedes-Benz C-Class  CDI AT,2012,81000,Diesel,Automatic,1,14.84,2143,1325000,Ahmedabad
109,,Toyota Fortuner x AT,2014,147000,Diesel,Automatic,3,12.55,2982,1361000,Ahmedabad
110,,Mercedes-Benz E-Class E CDI Elegance,2011,116000,Diesel,Automatic,2,14.21,2143,1050000,Ahmedabad
111,,Toyota Yaris G CVT,2018,35000,Petrol,Automatic,1,17.8,1496,990000,Ahmedabad
112,,Mercedes-Benz E-Class E CDI Avantgarde,2011,69810,Diesel,Automatic,1,14.21,2143,1375000,Ahmedabad
113,,Mercedes-Benz C-Class  CDI AT,2011,70800,Diesel,Automatic,1,14.84,2143,1250000,Ahmedabad
114,,Toyota Innova Crysta - . ZX AT BSIV,2016,88310,Diesel,Automatic,2,11.36,2755,1650000,Ahmedabad
115,,Mercedes-Benz E-Class E CDI Blue Efficiency,2011,97000,Diesel,Automatic,3,14.21,2143,1250000,Ahmedabad
116,,Audi Q -  TDI Quattro Premium Plus,2016,91000,Diesel,Automatic,1,12.07,2967,3100000,Ahmedabad
117,,Audi A  TDI Premium Plus,2015,60000,Diesel,Automatic,2,20.38,1968,1500000,Ahmedabad
118,,Mercedes-Benz E-Class E CDI Blue Efficiency,2011,97000,Diesel,Automatic,3,14.21,2143,1250000,Ahmedabad
119,,Audi Q -  TDI Quattro Premium Plus,2016,91000,Diesel,Automatic,1,12.07,2967,3100000,Ahmedabad
120,,Audi A  TDI Premium Plus,2015,60000,Diesel,Automatic,2,20.38,1968,1500000,Ahmedabad
121,,Honda Accord VTi-L AT,2007,52000,Petrol,Automatic,1,11.1,2354,320000,Ahmedabad
122,,Hyundai Xcent . VTVT S AT,2018,39000,Petrol,Automatic,1,17.36,1197,625000,Ahmedabad
123,,Land Rover Range Rover Sport TDV,2012,85493,Diesel,Automatic,1,14.7,2993,3500000,Ahmedabad
124,,Toyota Fortuner x AT,2014,101835,Diesel,Automatic,1,12.55,2982,1400000,Ahmedabad
125,,Mercedes-Benz E-Class E CDI Blue Efficiency,2011,97000,Diesel,Automatic,3,14.21,2143,1250000,Ahmedabad
126,,Audi Q -  TDI Quattro Premium Plus,2016,91000,Diesel,Automatic,1,12.07,2967,3100000,Ahmedabad
127,,Hyundai Xcent . VTVT S AT,2018,39000,Petrol,Automatic,1,17.36,1197,625000,Ahmedabad
128,,Ford Endeavour . Titanium AT X,2018,53000,Diesel,Automatic,1,10.91,3198,2750000,Ahmedabad
129,,Audi A  TDI Premium Plus,2015,60000,Diesel,Automatic,2,20.38,1968,1500000,Ahmedabad
130,,Jaguar XF Diesel,2013,75000,Diesel,Automatic,1,14.74,2993,1810000,Ahmedabad
131,,Volvo S D Summum,2014,89000,Diesel,Automatic,1,14.87,2400,1773999,Ahmedabad
132,,Hyundai Creta . SX Automatic Diesel,2016,70000,Diesel,Automatic,1,17.6,1582,869999,Ahmedabad
133,,Mercedes-Benz E-Class E CDI Avantgarde,2013,78600,Diesel,Automatic,1,14.21,2143,2250000,Ahmedabad
134,,Mercedes-Benz GLA Class  d Sport,2018,63205,Diesel,Automatic,1,17.9,2143,2650000,Ahmedabad
135,,Hyundai Venue SX Plus Turbo DCT DT,2020,23000,Petrol,Automatic,1,18.15,998,1150000,Ahmedabad
136,,Skoda Octavia Style Plus . TDI AT,2016,85961,Diesel,Automatic,1,19.3,1968,1350000,Ahmedabad
137,,Toyota Innova Crysta - . GX AT S BSIV,2017,88000,Diesel,Automatic,1,11.36,2755,1600000,Ahmedabad
138,,Mercedes-Benz GLA Class  d MATIC,2018,62001,Diesel,Automatic,1,17.9,2143,2650000,Ahmedabad
139,,Maruti Baleno Alpha Automatic,2017,46000,Petrol,Automatic,1,21.4,1197,690000,Ahmedabad
140,,Volkswagen Vento . TDI Highline AT,2016,94000,Diesel,Automatic,1,22.15,1498,775000,Ahmedabad
141,,Mercedes-Benz S-Class S  CDI,2014,33000,Diesel,Automatic,2,13.5,2987,3250000,Ahmedabad
142,,BMW  Series d Luxury Line,2012,73000,Diesel,Automatic,2,18.88,1995,950000,Ahmedabad
143,,Honda City i-VTEC CVT ZX,2017,16000,Petrol,Automatic,1,18,1497,1150000,Ahmedabad
144,,BMW  Series d GT Luxury Line,2015,45000,Diesel,Automatic,1,19.59,1995,1950000,Ahmedabad
145,,Hyundai Creta . VTVT AT SX Plus,2019,27000,Petrol,Automatic,1,13,1591,1400000,Ahmedabad
146,,Maruti Swift AMT ZDI,2018,29000,Diesel,Automatic,1,28.4,1248,675000,Ahmedabad
147,,Hyundai Verna . SX CRDI (O) AT,2013,44000,Diesel,Automatic,1,22.32,1582,551000,Ahmedabad
148,,Hyundai Creta . CRDi AT SX Plus,2016,63000,Diesel,Automatic,1,17.01,1582,1050000,Ahmedabad
149,,Land Rover Range Rover Evoque . TD HSE Dynamic,2018,36000,Diesel,Automatic,1,15.68,1999,4500000,Ahmedabad
150,,Toyota Yaris G CVT BSIV,2018,33000,Petrol,Automatic,1,17.8,1496,990000,Ahmedabad
151,,Toyota Fortuner - . WD AT BSIV,2018,78000,Diesel,Automatic,1,15.04,2755,2950000,Ahmedabad
152,,Tata Tiago . Revotron XZA,2017,32300,Petrol,Automatic,1,23.84,1199,550000,Ahmedabad
153,,Honda City i VTEC CVT VX,2017,76653,Petrol,Automatic,1,18,1497,950000,Ahmedabad
154,,BMW X xDrive d Luxury Line,2019,19000,Diesel,Automatic,1,16.55,1995,5400000,Ahmedabad
155,,Maruti Swift Dzire AMT ZDI Plus,2017,43000,Diesel,Automatic,1,28.4,1248,675000,Ahmedabad
156,,Toyota Fortuner - . WD AT BSIV,2017,74000,Diesel,Automatic,1,12.9,2755,2651000,Ahmedabad
157,,Ford EcoSport . Petrol Titanium Plus AT,2017,39582,Petrol,Automatic,1,14.7,1496,775000,Ahmedabad
158,,Hyundai Creta . VTVT AT SX Plus,2019,24000,Petrol,Automatic,1,13,1591,1400000,Ahmedabad
159,,Toyota Fortuner x AT,2015,85000,Diesel,Automatic,1,12.55,2982,1600000,Ahmedabad
160,,Volvo V D R-Design,2016,56000,Diesel,Automatic,2,16.8,1984,1350000,Ahmedabad
161,,Hyundai Santa Fe WD AT,2014,78500,Diesel,Automatic,1,13.01,2199,1251000,Ahmedabad
162,,Audi A . TDI  Bhp Technology Edition,2014,74000,Diesel,Automatic,1,17.11,1968,1551000,Ahmedabad
163,,Toyota Fortuner - . WD AT BSIV,2017,69000,Diesel,Automatic,1,12.9,2755,2775000,Ahmedabad
164,,Hyundai Grand i . Kappa Sportz AT,2018,25000,Petrol,Automatic,1,18.9,1197,621000,Ahmedabad
165,,Audi Q  TDI Quattro Premium,2016,90000,Diesel,Automatic,1,15.73,1968,1550000,Ahmedabad
166,,BMW X sDrive d Exclusive,2011,82000,Diesel,Automatic,2,15.06,1995,869999,Ahmedabad
167,,Volvo XC  . AWD,2008,51000,Petrol,Automatic,1,8.3,3192,789000,Ahmedabad
168,,Hyundai Grand i Nios AMT Sportz,2020,17000,Petrol,Automatic,1,20.7,1197,710000,Ahmedabad
169,,Skoda Superb Laurin & klement,2021,6000,Petrol,Automatic,1,15.1,1984,3450000,Ahmedabad
170,,Honda Jazz V CVT,2017,30000,Petrol,Automatic,1,18.2,1199,641000,Ahmedabad
171,,Ford Endeavour . Titanium AT X,2018,60000,Diesel,Automatic,1,10.91,3198,2743000,Ahmedabad
172,,BMW  Series d Corporate Edition,2012,70000,Diesel,Automatic,3,16.07,1995,620000,Ahmedabad
173,,Renault KWID AMT,2017,68300,Petrol,Automatic,1,24.04,999,295000,Ahmedabad
174,,Hyundai Elantra CRDi SX AT,2014,65221,Diesel,Automatic,2,19.5,1582,575000,Ahmedabad
175,,Tata Nano XTA,2015,8000,Petrol,Automatic,1,21.9,624,225000,Ahmedabad
176,,Hyundai Grand i . Kappa Sportz AT,2019,30000,Petrol,Automatic,1,18.9,1197,650000,Ahmedabad
177,,Maruti Ciaz Delta AT,2017,30000,Petrol,Automatic,1,20.04,1462,775000,Ahmedabad
178,,Toyota Fortuner x AT,2014,75000,Diesel,Automatic,2,12.55,2982,1525000,Ahmedabad
179,,Audi A  TDI Premium Sport,2015,34000,Diesel,Automatic,2,17.11,1968,1650000,Ahmedabad
180,,Mahindra Scorpio VLS AT . mHAWK,2012,70000,Diesel,Automatic,1,11.79,2179,400000,Ahmedabad
181,,Ford Endeavour .L X AT,2011,120000,Diesel,Automatic,2,11.4,2953,450000,Ahmedabad
182,,Toyota Fortuner x AT,2014,75000,Diesel,Automatic,2,12.55,2982,1525000,Ahmedabad
183,,Audi A  TDI Premium Sport,2015,34000,Diesel,Automatic,2,17.11,1968,1650000,Ahmedabad
184,,Mahindra Scorpio VLS AT . mHAWK,2012,70000,Diesel,Automatic,1,11.79,2179,400000,Ahmedabad
185,,Toyota Innova Crysta - . GX AT S BSIV,2019,47000,Diesel,Automatic,1,11.36,2755,1900000,Ahmedabad
186,,Volvo XC  D Inscription,2015,46000,Diesel,Automatic,1,17.2,1969,4800000,Ahmedabad
187,,Hyundai Grand i Asta Option AT,2016,31000,Petrol,Automatic,1,18.9,1197,565000,Ahmedabad
188,,Ford Endeavour . Titanium AT X,2017,65000,Diesel,Automatic,1,10.91,3198,2750000,Ahmedabad
189,,Mercedes-Benz E-Class E  CDI Avantgarde,2013,70000,Diesel,Automatic,2,10,2148,1400000,Ahmedabad
190,,Audi A New . TDI Multitronic,2009,149000,Diesel,Automatic,2,15.2,1968,490000,Ahmedabad
191,,BMW  Series d Touring,2010,74000,Diesel,Automatic,3,16.2,2993,650000,Ahmedabad
192,,Honda Civic . V AT Sunroof,2011,80000,Petrol,Automatic,3,13.9,1799,315000,Ahmedabad
193,,Hyundai Grand i . Kappa Sportz AT,2018,100000,Petrol,Automatic,1,18.9,1197,550000,Ahmedabad
194,, Tata Tiago,2018,56060,Petrol,Automatic,1,23.84,1199,534000,Bangalore
195,, Maruti Celerio,2017,61191,Petrol,Automatic,1,23.1,998,470000,Bangalore
196,,Mercedes-Benz M-Class ML  CDI,2015,74000,Diesel,Automatic,1,15.26,2143,3350000,Bangalore
197,,Honda CR V .L WD AT AVN,2013,95000,Petrol,Automatic,1,12,2354,1000000,Bangalore
198,,Mercedes-Benz GL-Class d MATIC Sport,2017,33000,Diesel,Automatic,1,17.9,2143,4495000,Bangalore
199,,Toyota Innova Crysta - . ZX AT BSIV,2018,78000,Diesel,Automatic,1,11.36,2755,2175000,Bangalore
200,,Audi A . TDI,2014,97021,Diesel,Automatic,1,17.68,1968,2275000,Bangalore
201,, Maruti Swift,2020,18723,Petrol,Automatic,1,22,1197,723500,Bangalore
202,, Maruti Wagon R,2016,11473,Petrol,Automatic,1,21.79,998,508000,Bangalore
203,, Maruti Celerio,2015,72805,Petrol,Automatic,1,21.63,998,443000,Bangalore
204,, Honda Brio,2012,47755,Petrol,Automatic,2,18.4,1198,404500,Bangalore
205,, Maruti Baleno,2018,30357,Petrol,Automatic,1,21.4,1197,770000,Bangalore
206,, MG Hector,2020,18805,Petrol,Automatic,1,13.96,1451,1666500,Bangalore
207,, Maruti Celerio,2014,83006,Petrol,Automatic,2,23.1,998,399000,Bangalore
208,, Maruti Vitara Brezza,2018,29796,Diesel,Automatic,1,24.3,1248,868500,Bangalore
209,, Maruti Swift Dzire,2017,75259,Diesel,Automatic,1,28.4,1248,755000,Bangalore
210,, Maruti Celerio,2015,50200,Petrol,Automatic,2,21.63,998,410000,Bangalore
211,, Renault KWID,2018,17000,Petrol,Automatic,1,22,999,499568,Bangalore
212,, Maruti Celerio,2015,17042,Petrol,Automatic,1,23.1,998,460500,Bangalore
213,, Honda Jazz,2017,64317,Petrol,Automatic,2,17.1,1199,673500,Bangalore
214,, Maruti Celerio,2017,21042,Petrol,Automatic,2,23.1,998,476500,Bangalore
215,, Renault KWID,2019,7858,Petrol,Automatic,1,24.04,999,512452,Bangalore
216,, Renault KWID,2016,45115,Petrol,Automatic,1,24.04,999,387500,Bangalore
217,, Renault KWID,2017,14071,Petrol,Automatic,1,24.04,999,403500,Bangalore
218,, Renault KWID,2018,18392,Petrol,Automatic,2,24.04,999,457500,Bangalore
219,, Renault KWID,2018,21565,Petrol,Automatic,1,24.04,999,456500,Bangalore
220,, Hyundai i,2013,55656,Petrol,Automatic,2,16.95,1197,385500,Bangalore
221,, Honda Brio,2013,84561,Petrol,Automatic,1,16.5,1198,426010,Bangalore
222,, Renault KWID,2018,20965,Petrol,Automatic,1,24.04,999,467000,Bangalore
223,, Renault KWID,2016,27080,Petrol,Automatic,1,24.04,999,410000,Bangalore
224,, Maruti Celerio,2019,37381,Petrol,Automatic,1,21.63,998,539000,Bangalore
225,, Renault KWID,2018,12297,Petrol,Automatic,1,24.04,999,478000,Bangalore
226,, Maruti Baleno,2017,71318,Petrol,Automatic,2,21.4,1197,656000,Bangalore
227,, Honda Jazz,2018,19101,Petrol,Automatic,2,18.2,1199,724000,Bangalore
228,, Maruti Ignis,2017,13107,Petrol,Automatic,1,20.89,1197,622000,Bangalore
229,, Maruti Wagon R,2017,45448,Petrol,Automatic,1,21.79,998,477000,Bangalore
230,, Maruti Alto K,2014,65385,Petrol,Automatic,2,23.95,998,315500,Bangalore
231,, Honda Jazz,2019,11625,Petrol,Automatic,1,18.2,1199,854000,Bangalore
232,, Maruti Celerio,2018,20675,Petrol,Automatic,1,21.63,998,497500,Bangalore
233,, Maruti Celerio,2016,26884,Petrol,Automatic,2,23.1,998,453500,Bangalore
234,, Maruti Celerio,2015,46103,Petrol,Automatic,1,21.63,998,461500,Bangalore
235,, Honda Jazz,2016,18316,Petrol,Automatic,1,17.1,1199,699500,Bangalore
236,, Maruti Celerio,2016,26832,Petrol,Automatic,1,23.1,998,486326,Bangalore
237,, Tata Tiago,2019,28656,Petrol,Automatic,1,23.84,1199,663500,Bangalore
238,, Renault KWID,2017,10003,Petrol,Automatic,1,24.04,999,446000,Bangalore
239,, Hyundai Grand i,2015,26776,Petrol,Automatic,2,18.9,1197,515500,Bangalore
240,, Maruti Celerio,2014,72947,Petrol,Automatic,1,23.1,998,392122,Bangalore
241,, Hyundai Grand i,2019,15726,Petrol,Automatic,1,18.9,1197,648500,Bangalore
242,, Hyundai Grand i,2015,73462,Petrol,Automatic,2,18.9,1197,497500,Bangalore
243,, Hyundai Grand i,2016,19255,Petrol,Automatic,2,18.9,1197,504500,Bangalore
244,, Maruti Celerio,2015,25610,Petrol,Automatic,1,23.1,998,439500,Bangalore
245,, Hyundai Grand i,2015,32958,Petrol,Automatic,1,18.9,1197,541000,Bangalore
246,, Tata Zest,2015,53737,Diesel,Automatic,1,21.58,1248,449500,Bangalore
247,, Renault KWID,2017,12413,Petrol,Automatic,2,24.04,999,414500,Bangalore
248,, Maruti Swift,2018,28782,Petrol,Automatic,1,22,1197,744000,Bangalore
249,, Tata Tigor,2018,11846,Petrol,Automatic,1,20.3,1199,618500,Bangalore
250,, Maruti Celerio,2015,29406,Petrol,Automatic,1,23.1,998,463500,Bangalore
251,, Maruti Ciaz,2017,43342,Petrol,Automatic,1,19.12,1373,777239,Bangalore
252,, Mahindra XUV,2017,66839,Diesel,Automatic,2,16,2179,1103500,Bangalore
253,,Porsche Cayenne Diesel Platinum Edition,2015,50000,Diesel,Automatic,1,16.12,2967,5400000,Bangalore
254,,Audi Q  TDI Quattro Premium Plus,2017,58000,Diesel,Automatic,1,15.73,1968,2750000,Bangalore
255,,Hyundai Grand i . Kappa Magna AT,2017,29000,Petrol,Automatic,1,18.9,1197,600000,Bangalore
256,,Mahindra XUV AT W . mHawk,2017,80000,Diesel,Automatic,1,16,1997,1525000,Bangalore
